"","regions","NAME","lat","long"
"3",2,"Bayview Community Elementary",49.266473,-123.182236
"7",6,"Champlain Heights Community Elementary",49.22062,-123.027488
"9",7,"Chief Maquinna Elementary",49.268342,-123.050092
"12",10,"David Oppenheimer Elementary",49.213644,-123.057958
"13",11,"Dr A R Lord Elementary",49.279641,-123.039411
"29",26,"Hastings Community Elementary",49.282524,-123.050642
"30",27,"Henry Hudson Elementary",49.272047,-123.148429
"61",51,"Sir Sandford Fleming Elementary",49.225795,-123.076679
"62",52,"Sir Wilfred Grenfell Community",49.242996,-123.034515
"63",53,"Sir Wilfrid Laurier Elementary",49.21866,-123.125575
